   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
   20     142.043655      42.772011      37.000000     0.453    86.270    48.282    89.356   267.237    41.722    90.722      9.00     -3.00    1
   21     142.043671      42.799019      37.000000     0.372    85.262    45.102    91.629   262.954    44.921    88.365     12.00     -3.00    1
   22     142.043686      42.826019      37.000000     0.202    80.791    48.346    96.195   251.515    42.029    83.083     15.00     -3.00    1
   23     142.006989      42.555969      37.000000     0.219    93.876    73.209     1.553     3.427    88.513   163.203    -15.00      0.00    1
   24     142.006989      42.582981      37.000000     0.395    95.192    64.235   -10.279   189.699    80.753  -153.870    -12.00      0.00    1
   25     142.007004      42.609982      37.000000     0.577    98.191    54.967   -10.293   194.143    81.587  -144.529     -9.00      0.00    1
   26     142.007004      42.636990      37.000000     0.661    98.765    47.497     0.947     8.126    89.302   137.493     -6.00      0.00    1
   27     142.007004      42.663990      37.000000     0.706   103.870    38.902    15.275     1.871    80.477   127.899     -3.00      0.00    1
   28     142.007004      42.691002      37.000000     0.668   114.329    34.287    35.145   354.145    71.078   119.141      0.00      0.00    1
   29     142.007004      42.718010      37.000000     0.586   124.212    36.407    53.540   346.766    61.487   113.665      3.00      0.00    1
   30     142.007004      42.745010      37.000000     0.503   122.211    43.016    66.942   332.418    51.119   110.074      6.00      0.00    1
   31     142.007004      42.772018      37.000000     0.475    88.411    46.030    78.957   284.112    45.059   101.231      9.00      0.00    1
   32     142.006989      42.799019      37.000000     0.417    79.217    44.438    79.984   273.111    46.412    99.678     12.00      0.00    1
   33     142.006989      42.826031      37.000000     0.232    74.991    47.978    83.285   264.967    42.457    97.394     15.00      0.00    1
   34     141.970474      42.555962      37.000000     0.234    97.631    53.940   -14.870   196.515    78.026  -143.006    -15.00      3.00    1
   35     141.970459      42.582970      37.000000     0.421    99.198    56.000   -12.692   196.376    79.505  -145.340    -12.00      3.00    1
   36     141.970444      42.609982      37.000000     0.619   101.454    53.424   -12.488   198.972    80.000  -142.765     -9.00      3.00    1
   37     141.970428      42.636978      37.000000     0.710   100.820    50.641    -7.304   195.467    84.359  -140.412     -6.00      3.00    1
   38     141.970413      42.663990      37.000000     0.730   101.921    43.943     2.179    10.351    88.488   133.922     -3.00      3.00    1
   39     141.970383      42.690990      37.000000     0.666   110.934    32.997    25.112   359.475    76.637   120.454      0.00      3.00    1
   40     141.970383      42.717999      37.000000     0.580   127.118    30.030    50.226   350.992    67.379   110.295      3.00      3.00    1
   41     141.970367      42.745010      37.000000     0.501   137.711    31.813    64.808   346.678    61.510   104.791      6.00      3.00    1
   42     141.970352      42.772011      37.000000     0.439   143.305    33.008    80.338   334.782    57.518    96.223      9.00      3.00    1
   43     141.970337      42.799019      37.000000     0.366    89.880    39.920    70.231   294.989    52.851   105.801     12.00      3.00    1
   44     141.970322      42.826019      37.000000     0.209    70.397    49.253    70.831   278.436    44.308   110.863     15.00      3.00    1
   45     141.933945      42.555939      37.000000     0.213   100.744    48.523   -21.096   205.078    74.355  -136.544    -15.00      6.00    1
   46     141.933914      42.582951      37.000000     0.378   102.569    51.227   -16.478   203.064    77.224  -140.048    -12.00      6.00    1
   47     141.933884      42.609959      37.000000     0.504   104.960    52.913   -13.066   202.927    79.610  -142.187     -9.00      6.00    1
   48     141.933853      42.636959      37.000000     0.591   104.335    56.674   -14.713   202.544    77.748  -145.792     -6.00      6.00    1
   49     141.933823      42.663971      37.000000     0.617   102.579    51.162    -8.726   198.077    83.213  -140.836     -3.00      6.00    1
   50     141.933777      42.690979      37.000000     0.549   105.392    37.086    10.881     6.674    83.464   126.587      0.00      6.00    1
   51     141.933746      42.717979      37.000000     0.459   124.754    26.361    44.738   353.153    71.788   109.392      3.00      6.00    0
   52     141.933716      42.744991      37.000000     0.409   142.092    25.559    70.029   344.032    66.078    99.277      6.00      6.00    0
   53     141.933685      42.771999      37.000000     0.371   153.470    27.720    84.466   339.717    62.420    92.901      9.00      6.00    0
   54     141.933655      42.799000      37.000000     0.298   155.286    25.316    84.772   341.065    64.796    92.468     12.00      6.00    0
   55     141.933624      42.826012      37.000000     0.167   172.576    22.305    84.350   358.680    67.809    92.313     15.00      6.00    0
   56     141.897415      42.555908      37.000000     0.134   104.009    47.282   -24.407   211.119    72.326  -134.603    -15.00      9.00    1
   57     141.897369      42.582920      37.000000     0.230   104.269    48.769   -17.541   206.037    76.900  -137.413    -12.00      9.00    1
   58     141.897324      42.609928      37.000000     0.294   106.885    51.760   -11.996   204.377    80.605  -141.143     -9.00      9.00    1
   59     141.897263      42.636929      37.000000     0.335   108.843    55.966   -14.223   206.918    78.252  -145.133     -6.00      9.00    1
   60     141.897217      42.663940      37.000000     0.347   105.202    61.217   -18.194   204.195    74.118  -149.960     -3.00      9.00    1
   61     141.897171      42.690948      37.000000     0.296   105.098    66.418   -18.742   202.828    72.874  -155.252      0.00      9.00    1
   62     141.897125      42.717949      37.000000     0.231   166.725    21.224   104.479   331.241    69.481    84.454      3.00      9.00    0
   63     141.897079      42.744961      37.000000     0.226   158.432    24.691    89.072   339.454    65.312    90.427      6.00      9.00    0
   64     141.897034      42.771969      37.000000     0.221   160.074    23.710    88.835   341.346    66.295    90.511      9.00      9.00    0
   65     141.896988      42.798969      37.000000     0.187   156.156    20.782    80.909   345.868    69.491    93.432     12.00      9.00    0
   66     141.896942      42.825981      37.000000     0.110   176.599    16.095    83.913     2.932    73.999    91.752     15.00      9.00    0
